"성별","국적별",2023.08 p),2023.08 p),2023.08 p),2023.08 p),2023.09 p),2023.09 p),2023.09 p),2023.09 p),2023.10 p),2023.10 p),2023.10 p),2023.10 p),2021,2021,2021,2021,2022,2022,2022,2022
"성별","국적별",총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동
"계","합계",87582,60740,26842,33898,66885,44573,22312,22261,55254,31787,23467,8320,483826,220571,263255,-42684,657519,412948,244571,168377
"계","아프가니스탄",27,19,8,11,11,7,4,3,8,5,3,2,615,538,77,461,171,111,60,51
"계","바레인",6,4,2,2,-,-,-,-,-,-,-,-,11,5,6,-1,8,7,1,6
"계","방글라데시",775,624,151,473,779,585,194,391,602,394,208,186,2758,1048,1710,-662,9366,7283,2083,5200
"계","부탄",5,1,4,-3,1,1,0,1,-,-,-,-,24,17,7,10,30,16,14,2
"계","브루나이",63,61,2,59,2,0,2,-2,1,0,1,-1,23,18,5,13,255,147,108,39
"계","미얀마",1974,1740,234,1506,1702,1493,209,1284,1036,649,387,262,3729,1463,2266,-803,12869,10237,2632,7605
"계","캄보디아",1951,1357,594,763,1743,1299,444,855,1964,1339,625,714,8924,4583,4341,242,17324,12004,5320,6684
"계","스리랑카",938,703,235,468,1147,991,156,835,764,541,223,318,5251,1435,3816,-2381,10845,7708,3137,4571
"계","중국",27649,18810,8839,9971,21042,14010,7032,6978,18387,12245,6142,6103,211427,94848,116579,-21731,164805,95063,69742,25321
"계","타이완",823,624,199,425,268,140,128,12,187,97,90,7,3092,1644,1448,196,3489,2050,1439,611
"계","키프러스",8,5,3,2,-,-,-,-,1,0,1,-1,21,8,13,-5,18,9,9,0
"계","홍콩",222,149,73,76,84,42,42,0,43,23,20,3,1212,621,591,30,1353,795,558,237
"계","인도",835,522,313,209,620,394,226,168,679,377,302,75,5017,2727,2290,437,7524,4510,3014,1496
"계","인도네시아",3111,2602,509,2093,1136,723,413,310,1093,734,359,375,8837,3053,5784,-2731,22850,16669,6181,10488
"계","이란",84,46,38,8,50,32,18,14,35,19,16,3,450,263,187,76,571,316,255,61
"계","이라크",31,24,7,17,20,12,8,4,14,7,7,0,360,212,148,64,332,167,165,2
"계","이스라엘",32,23,9,14,21,10,11,-1,14,9,5,4,137,64,73,-9,124,67,57,10
"계","일본",1967,1330,637,693,893,538,355,183,459,219,240,-21,10370,6139,4231,1908,12711,7177,5534,1643
"계","요르단",31,16,15,1,28,24,4,20,22,12,10,2,228,114,114,0,242,150,92,58
"계","카자흐스탄",2092,1291,801,490,1856,1301,555,746,1299,725,574,151,11513,6111,5402,709,20383,15635,4748,10887
"계","키르기스스탄",484,341,143,198,432,309,123,186,308,177,131,46,2590,1553,1037,516,4168,3056,1112,1944
"계","쿠웨이트",4,4,0,4,4,2,2,0,3,2,1,1,30,19,11,8,36,16,20,-4
"계","라오스",555,305,250,55,292,170,122,48,704,262,442,-180,529,343,186,157,1757,1310,447,863
"계","레바논",5,3,2,1,3,1,2,-1,5,3,2,1,25,13,12,1,32,11,21,-10
"계","마카오",12,8,4,4,9,8,1,7,2,0,2,-2,61,28,33,-5,49,30,19,11
"계","말레이시아",686,537,149,388,376,272,104,168,314,221,93,128,2096,753,1343,-590,3431,1927,1504,423
"계","몰디브",-,-,-,-,1,1,0,1,-,-,-,-,14,6,8,-2,2,1,1,0
"계","몽골",2041,1180,861,319,2175,1521,654,867,1037,467,570,-103,13852,3822,10030,-6208,15663,10788,4875,5913
"계","네팔",2886,2646,240,2406,1424,1106,318,788,776,411,365,46,5111,999,4112,-3113,21108,15990,5118,10872
"계","오만",9,8,1,7,1,0,1,-1,1,1,0,1,29,16,13,3,52,31,21,10
"계","파키스탄",492,361,131,230,479,340,139,201,385,191,194,-3,3111,1214,1897,-683,5538,3636,1902,1734
"계","팔레스타인",7,4,3,1,4,2,2,0,-,-,-,-,55,29,26,3,39,28,11,17
"계","필리핀",2578,1412,1166,246,2513,1128,1385,-257,2999,1169,1830,-661,6245,1847,4398,-2551,21341,13612,7729,5883
"계","티모르민주공화국",132,112,20,92,109,90,19,71,84,48,36,12,447,304,143,161,1456,1247,209,1038
"계","카타르",1,0,1,-1,-,-,-,-,3,1,2,-1,15,8,7,1,16,9,7,2
"계","사우디아라비아",149,112,37,75,42,16,26,-10,25,13,12,1,889,454,435,19,658,355,303,52
"계","싱가포르",226,197,29,168,32,19,13,6,29,14,15,-1,463,276,187,89,1012,524,488,36
"계","시리아",50,37,13,24,26,16,10,6,50,32,18,14,199,53,146,-93,592,316,276,40
"계","타지키스탄",115,64,51,13,85,53,32,21,87,56,31,25,1218,749,469,280,1526,868,658,210
"계","태국",4288,1814,2474,-660,4446,2100,2346,-246,4524,1922,2602,-680,19560,5166,14394,-9228,52148,34744,17404,17340
"계","튀르키예",318,205,113,92,258,179,79,100,152,77,75,2,812,429,383,46,2695,2157,538,1619
"계","투르크메니스탄",43,35,8,27,66,58,8,50,35,24,11,13,43,11,32,-21,220,186,34,152
"계","아랍에미리트연합",99,40,59,-19,68,28,40,-12,71,19,52,-33,531,356,175,181,1029,577,452,125
"계","우즈베키스탄",2881,1652,1229,423,3750,2684,1066,1618,2194,1153,1041,112,23860,13092,10768,2324,34064,22208,11856,10352
"계","베트남",9266,6621,2645,3976,8773,6395,2378,4017,7170,3670,3500,170,34581,17402,17179,223,86077,51650,34427,17223
"계","예멘공화국",45,33,12,21,42,27,15,12,34,19,15,4,182,77,105,-28,512,266,246,20
"계","아르헨티나",18,10,8,2,16,12,4,8,7,5,2,3,127,78,49,29,185,118,67,51
"계","바하마",-,-,-,-,1,1,0,1,-,-,-,-,4,1,3,-2,3,1,2,-1
"계","바베이도스",1,1,0,1,2,0,2,-2,-,-,-,-,2,2,0,2,5,3,2,1
"계","벨리즈",-,-,-,-,-,-,-,-,-,-,-,-,8,4,4,0,7,3,4,-1
"계","볼리비아",7,5,2,3,4,2,2,0,1,0,1,-1,34,18,16,2,37,25,12,13
"계","브라질",172,116,56,60,77,43,34,9,62,14,48,-34,842,491,351,140,1113,668,445,223
"계","캐나다",854,500,354,146,894,546,348,198,758,448,310,138,6912,3301,3611,-310,9908,5385,4523,862
"계","칠레",45,31,14,17,17,11,6,5,7,2,5,-3,148,79,69,10,252,155,97,58
"계","콜롬비아",58,46,12,34,16,10,6,4,18,7,11,-4,293,167,126,41,344,198,146,52
"계","코스타리카",9,9,0,9,4,3,1,2,2,0,2,-2,41,24,17,7,47,28,19,9
"계","쿠바",6,6,0,6,5,3,2,1,3,2,1,1,26,19,7,12,21,11,10,1
"계","도미니카연방",5,5,0,5,-,-,-,-,-,-,-,-,5,3,2,1,5,0,5,-5
"계","도미니카공화국",8,6,2,4,1,1,0,1,11,2,9,-7,57,34,23,11,61,28,33,-5
"계","에콰도르",38,30,8,22,10,3,7,-4,7,1,6,-5,137,69,68,1,155,81,74,7
"계","엘살바도르",5,5,0,5,2,2,0,2,3,1,2,-1,46,22,24,-2,29,20,9,11
"계","그레나다",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1
"계","과테말라",6,3,3,0,4,1,3,-2,2,0,2,-2,31,16,15,1,43,26,17,9
"계","가이아나",5,5,0,5,3,1,2,-1,-,-,-,-,2,1,1,0,10,8,2,6
"계","아이티",4,0,4,-4,3,0,3,-3,-,-,-,-,11,6,5,1,166,158,8,150
"계","온두라스",1,1,0,1,1,1,0,1,3,0,3,-3,21,10,11,-1,22,13,9,4
"계","자메이카",5,2,3,-1,2,2,0,2,4,4,0,4,22,11,11,0,35,15,20,-5
"계","멕시코",230,205,25,180,55,26,29,-3,24,11,13,-2,954,450,504,-54,1374,739,635,104
"계","네덜란드령앤틸리스",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,-1
"계","니카라과",4,4,0,4,-,-,-,-,2,1,1,0,20,7,13,-6,26,14,12,2
"계","파나마",8,7,1,6,1,1,0,1,1,0,1,-1,32,19,13,6,28,16,12,4
"계","파라과이",5,5,0,5,5,4,1,3,19,3,16,-13,36,23,13,10,65,37,28,9
"계","페루",48,33,15,18,18,11,7,4,15,6,9,-3,221,103,118,-15,295,187,108,79
"계","세인트크리토퍼 네비스",-,-,-,-,-,-,-,-,1,0,1,-1,1,1,0,1,9,5,4,1
"계","세인트루시아",-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,1,-,-,-,-
"계","세인트빈센트그레나딘",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,-,-,-,-
"계","수리남",-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,1,1,0,1,-1
"계","트리니다드토바고",2,2,0,2,-,-,-,-,-,-,-,-,16,7,9,-2,12,8,4,4
"계","우루과이",2,2,0,2,2,2,0,2,1,0,1,-1,20,12,8,4,17,8,9,-1
"계","미국",5129,3682,1447,2235,3343,2030,1313,717,2744,1639,1105,534,33365,16980,16385,595,38412,21464,16948,4516
"계","베네수엘라",5,4,1,3,11,7,4,3,16,4,12,-8,117,44,73,-29,94,49,45,4
"계","알바니아",5,4,1,3,8,4,4,0,-,-,-,-,25,11,14,-3,41,19,22,-3
"계","안도라",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,0,1,-1
"계","오스트리아",72,56,16,40,25,12,13,-1,11,4,7,-3,335,177,158,19,423,221,202,19
"계","아르메니아",12,9,3,6,4,3,1,2,3,2,1,1,36,20,16,4,20,12,8,4
"계","아제르바이잔",102,95,7,88,12,7,5,2,4,1,3,-2,115,79,36,43,190,110,80,30
"계","벨기에",115,94,21,73,49,40,9,31,19,8,11,-3,732,392,340,52,773,366,407,-41
"계","불가리아",19,18,1,17,4,2,2,0,5,3,2,1,106,56,50,6,92,45,47,-2
"계","벨로루시",40,30,10,20,10,8,2,6,19,10,9,1,195,117,78,39,239,141,98,43
"계","보스니아헤르체고비나",3,1,2,-1,1,1,0,1,-,-,-,-,7,4,3,1,14,9,5,4
"계","체코",86,69,17,52,9,5,4,1,5,2,3,-1,272,140,132,8,360,197,163,34
"계","에스토니아",13,12,1,11,-,-,-,-,1,1,0,1,50,26,24,2,52,28,24,4
"계","덴마크",140,127,13,114,15,9,6,3,13,4,9,-5,462,255,207,48,547,276,271,5
"계","영국",670,494,176,318,279,117,162,-45,144,77,67,10,2872,1593,1279,314,3458,1880,1578,302
"계","영국 속령지 시민",1,1,0,1,-,-,-,-,-,-,-,-,2,1,1,0,1,0,1,-1
"계","영국 외지민",3,0,3,-3,1,1,0,1,2,1,1,0,32,17,15,2,49,27,22,5
"계","영국 외지시민",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,-,-,-,-
"계","핀란드",124,105,19,86,14,12,2,10,4,1,3,-2,480,239,241,-2,656,336,320,16
"계","프랑스",1802,1511,291,1220,385,221,164,57,217,101,116,-15,5995,2639,3356,-717,8800,4613,4187,426
"계","조지아",15,14,1,13,3,3,0,3,-,-,-,-,57,30,27,3,62,39,23,16
"계","독일",1318,1091,227,864,292,157,135,22,129,66,63,3,4382,2420,1962,458,5756,3064,2692,372
"계","그리스",40,26,14,12,14,10,4,6,8,6,2,4,263,110,153,-43,219,94,125,-31
"계","헝가리",66,57,9,48,6,4,2,2,5,3,2,1,168,88,80,8,242,127,115,12
"계","아이슬랜드",12,10,2,8,-,-,-,-,6,2,4,-2,14,5,9,-4,38,18,20,-2
"계","아일랜드",54,40,14,26,15,6,9,-3,13,2,11,-9,352,196,156,40,402,199,203,-4
"계","이탈리아",258,215,43,172,84,60,24,36,43,19,24,-5,1124,565,559,6,1312,725,587,138
"계","코소보",1,1,0,1,3,3,0,3,-,-,-,-,4,1,3,-2,6,4,2,2
"계","라트비아",25,25,0,25,7,6,1,5,2,1,1,0,64,40,24,16,79,33,46,-13
"계","리히텐슈타인",-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,0,-,-,-,-
"계","룩셈부르크",6,6,0,6,3,1,2,-1,1,0,1,-1,28,14,14,0,37,22,15,7
"계","리투아니아",42,41,1,40,7,5,2,3,2,1,1,0,157,85,72,13,182,95,87,8
"계","북마케도니아",1,1,0,1,-,-,-,-,-,-,-,-,9,6,3,3,9,4,5,-1
"계","몰타",-,-,-,-,-,-,-,-,1,0,1,-1,4,2,2,0,2,1,1,0
"계","모나코",1,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"계","몰도바",11,11,0,11,2,2,0,2,-,-,-,-,45,23,22,1,30,18,12,6
"계","몬테네그로",1,1,0,1,-,-,-,-,-,-,-,-,7,3,4,-1,21,8,13,-5
"계","네덜란드",350,306,44,262,66,25,41,-16,39,20,19,1,893,493,400,93,1811,929,882,47
"계","노르웨이",86,74,12,62,7,1,6,-5,11,5,6,-1,295,162,133,29,369,176,193,-17
"계","폴란드",125,106,19,87,36,26,10,16,31,7,24,-17,501,288,213,75,612,328,284,44
"계","포르투칼",45,31,14,17,13,7,6,1,6,0,6,-6,291,111,180,-69,255,110,145,-35
"계","루마니아",29,22,7,15,13,5,8,-3,6,1,5,-4,222,125,97,28,231,112,119,-7
"계","러시아(연방)",2582,1726,856,870,2675,2008,667,1341,2023,1310,713,597,16038,7314,8724,-1410,18400,12324,6076,6248
"계","세르비아",8,7,1,6,8,8,0,8,6,3,3,0,72,31,41,-10,54,30,24,6
"계","슬로바크",25,20,5,15,2,2,0,2,1,0,1,-1,98,52,46,6,101,45,56,-11
"계","슬로베니아",13,12,1,11,-,-,-,-,3,2,1,1,35,21,14,7,49,21,28,-7
"계","스페인",315,275,40,235,64,37,27,10,50,23,27,-4,1292,742,550,192,1444,762,682,80
"계","스웨덴",190,156,34,122,50,38,12,26,22,7,15,-8,746,435,311,124,982,507,475,32
"계","스위스",105,84,21,63,32,16,16,0,6,4,2,2,491,265,226,39,552,293,259,34
"계","우크라이나",109,50,59,-9,108,57,51,6,74,23,51,-28,1800,1055,745,310,2072,1625,447,1178
"계","크로아티아",11,8,3,5,3,1,2,-1,2,1,1,0,77,36,41,-5,71,35,36,-1
"계","오스트레일리아",323,212,111,101,253,157,96,61,244,153,91,62,1738,910,828,82,3137,1876,1261,615
"계","피지",10,9,1,8,5,1,4,-3,1,0,1,-1,22,10,12,-2,32,21,11,10
"계","키리바시",1,0,1,-1,-,-,-,-,-,-,-,-,48,15,33,-18,1,0,1,-1
"계","미크로네시아",1,1,0,1,-,-,-,-,-,-,-,-,3,0,3,-3,2,2,0,2
"계","마샬군도",-,-,-,-,-,-,-,-,1,1,0,1,1,0,1,-1,7,6,1,5
"계","나우루",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,0
"계","뉴질랜드",91,49,42,7,114,66,48,18,92,54,38,16,747,386,361,25,1258,680,578,102
"계","팔라우",-,-,-,-,3,0,3,-3,-,-,-,-,-,-,-,-,1,0,1,-1
"계","파푸아뉴기니",-,-,-,-,1,1,0,1,-,-,-,-,8,4,4,0,11,7,4,3
"계","사모아",1,0,1,-1,1,0,1,-1,-,-,-,-,-,-,-,-,-,-,-,-
"계","솔로몬군도",2,1,1,0,1,1,0,1,-,-,-,-,6,2,4,-2,4,3,1,2
"계","통가",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1
"계","투발루",-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,-1,-,-,-,-
"계","바누아투",-,-,-,-,1,0,1,-1,1,1,0,1,35,13,22,-9,5,3,2,1
"계","알제리",21,19,2,17,20,10,10,0,17,6,11,-5,123,49,74,-25,141,73,68,5
"계","앙골라",3,3,0,3,6,5,1,4,-,-,-,-,22,7,15,-8,34,21,13,8
"계","보츠와나",4,4,0,4,1,1,0,1,1,0,1,-1,14,8,6,2,21,12,9,3
"계","부룬디",37,35,2,33,55,53,2,51,4,3,1,2,50,32,18,14,113,89,24,65
"계","카메룬",49,31,18,13,7,3,4,-1,11,5,6,-1,179,71,108,-37,226,89,137,-48
"계","중앙아프리카공화국",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,9,6,3,3
"계","챠드",-,-,-,-,-,-,-,-,-,-,-,-,4,2,2,0,8,5,3,2
"계","코모로",4,1,3,-2,1,1,0,1,1,1,0,1,-,-,-,-,9,5,4,1
"계","콩고",3,2,1,1,-,-,-,-,1,0,1,-1,5,3,2,1,16,9,7,2
"계","콩고민주공화국",18,14,4,10,11,8,3,5,11,8,3,5,71,43,28,15,80,55,25,30
"계","베넹",-,-,-,-,2,1,1,0,-,-,-,-,10,3,7,-4,8,4,4,0
"계","지부티",-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,0,2,1,1,0
"계","이집트",151,95,56,39,133,91,42,49,137,67,70,-3,762,304,458,-154,1192,524,668,-144
"계","적도기니아",-,-,-,-,1,0,1,-1,-,-,-,-,5,3,2,1,6,4,2,2
"계","에티오피아",77,61,16,45,66,46,20,26,33,15,18,-3,254,146,108,38,330,194,136,58
"계","에리트레아",-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,2,5,2,3,-1
"계","가봉",4,3,1,2,2,2,0,2,1,0,1,-1,20,12,8,4,36,21,15,6
"계","감비아",6,2,4,-2,7,3,4,-1,2,1,1,0,29,8,21,-13,46,24,22,2
"계","가나",80,51,29,22,36,22,14,8,42,20,22,-2,405,188,217,-29,394,208,186,22
"계","기니",7,3,4,-1,7,2,5,-3,6,1,5,-4,46,13,33,-20,57,20,37,-17
"계","기니비사우",1,1,0,1,-,-,-,-,-,-,-,-,4,2,2,0,6,0,6,-6
"계","코트디부아르",20,17,3,14,4,3,1,2,17,1,16,-15,31,15,16,-1,47,28,19,9
"계","케냐",54,46,8,38,18,10,8,2,9,4,5,-1,168,88,80,8,217,154,63,91
"계","레소토",1,1,0,1,1,1,0,1,1,0,1,-1,1,0,1,-1,2,2,0,2
"계","라이베리아",23,22,1,21,4,2,2,0,6,0,6,-6,97,31,66,-35,86,43,43,0
"계","리비아",45,19,26,-7,43,31,12,19,18,7,11,-4,582,253,329,-76,527,310,217,93
"계","마다가스카르",4,4,0,4,2,2,0,2,1,1,0,1,12,9,3,6,19,9,10,-1
"계","말라위",10,9,1,8,2,0,2,-2,1,0,1,-1,26,11,15,-4,40,28,12,16
"계","말리",3,1,2,-1,3,3,0,3,6,0,6,-6,31,11,20,-9,98,67,31,36
"계","모리타니",1,1,0,1,-,-,-,-,-,-,-,-,8,6,2,4,3,1,2,-1
"계","모리셔스",1,1,0,1,3,2,1,1,-,-,-,-,15,6,9,-3,21,16,5,11
"계","모로코",88,70,18,52,50,29,21,8,51,25,26,-1,452,244,208,36,800,508,292,216
"계","모잠비크",4,2,2,0,2,2,0,2,-,-,-,-,100,51,49,2,54,23,31,-8
"계","나미비아",-,-,-,-,1,1,0,1,-,-,-,-,2,1,1,0,2,1,1,0
"계","니제르",-,-,-,-,1,1,0,1,1,1,0,1,1,0,1,-1,-,-,-,-
"계","나이지리아",94,64,30,34,62,33,29,4,19,6,13,-7,556,276,280,-4,678,347,331,16
"계","짐바브웨",18,12,6,6,3,1,2,-1,2,1,1,0,49,27,22,5,39,21,18,3
"계","르완다",49,45,4,41,21,14,7,7,8,5,3,2,122,71,51,20,212,151,61,90
"계","세네갈",14,12,2,10,2,1,1,0,9,8,1,7,64,17,47,-30,60,30,30,0
"계","세이쉘",1,0,1,-1,-,-,-,-,-,-,-,-,1,0,1,-1,-,-,-,-
"계","시에라리온",9,8,1,7,3,1,2,-1,2,0,2,-2,28,17,11,6,12,10,2,8
"계","소말리아",7,5,2,3,-,-,-,-,-,-,-,-,18,9,9,0,19,10,9,1
